what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dltk.javascript.debug.ui,2.0.0.v20100201-1709,"org.eclipse.dltk.javascript.debug.ui",1281040961687
stopped,bundle,org.eclipse.dltk.javascript.jsjdtdebugger,1.0.0.v20100201-1709,"org.eclipse.dltk.javascript.jsjdtdebugger",1281040961687
stopped,bundle,org.eclipse.dltk.javascript.launching,1.0.0.v20100201-1709,"org.eclipse.dltk.javascript.launching",1281040961688
stopped,bundle,org.eclipse.dltk.javascript.debug,1.0.0.v20090708-1856,"org.eclipse.dltk.javascript.debug",1281040961689
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1281040961689
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1281040961692
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1281040961693
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1281040961695
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1281040961696
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1281040961702
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1281040961703
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1281040961708
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1281040961712
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1281040961713
stopped,bundle,com.python.pydev.codecompletion,1.5.4.2010011921,"com.python.pydev.codecompletion",1281040961713
stopped,bundle,com.python.pydev.refactoring,1.5.4.2010011921,"com.python.pydev.refactoring",1281040961713
stopped,bundle,com.python.pydev.analysis,1.5.4.2010011921,"com.python.pydev.analysis",1281040961733
stopped,bundle,com.python.pydev.debug,1.5.4.2010011921,"com.python.pydev.debug",1281040961751
stopped,bundle,com.python.pydev.fastparser,1.5.4.2010011921,"com.python.pydev.fastparser",1281040961766
stopped,bundle,com.python.pydev,1.5.4.2010011921,"com.python.pydev",1281040961786
stopped,bundle,org.python.pydev.customizations,1.5.4.2010011921,"org.python.pydev.customizations",1281040961800
stopped,bundle,org.python.pydev.debug,1.5.4.2010011921,"org.python.pydev.debug",1281040961800
stopped,bundle,org.python.pydev.refactoring,1.5.4.2010011921,"org.python.pydev.refactoring",1281040961821
stopped,bundle,org.python.pydev.templates,1.5.4.2010011921,"org.python.pydev.templates",1281040961832
stopped,bundle,org.python.pydev,1.5.4.2010011921,"org.python.pydev",1281040961832
